nome_completo,prim_habi,data_nasci,local_nasci,uf_3,data_emissao,validade,doc_identida,org_emissor,uf_4c,cpf,num_regis,categoria,pai,mae,assinatura
Sr. Ryan Andrade,E,20/05/1967,Cavalcanti das Pedras,SP,21/03/2024,19/03/2034,39.981.777-1,DETRAN,PR,916.354.028-24,30055407561,E,Dr. Carlos Eduardo Moreira,Maria Isis da Rosa,Sr. Ryan Andrade
Matteo Santos,A,03/03/1971,Andrade do Sul,RJ,20/10/2018,17/10/2028,34.342.283-8,DETRAN,RS,319.675.280-12,02704267913,A,Dr. Calebe Aragao,Sophie da Mota,Matteo Santos
Eloa Lopes,B,17/09/1982,Montenegro,SC,09/10/2019,06/10/2029,10.261.417-3,DETRAN,AL,437.026.895-83,46187310261,B,Theodoro Vieira,Cecilia Sales,Eloa Lopes
Antony Pereira,B,12/10/2001,Cardoso,AL,05/01/2024,02/01/2034,59.295.362-4,IIRGD,RS,407.932.815-04,23149622095,B,Luiz Fernando da Luz,Marcela Martins,Antony Pereira
Maya da Cunha,C,30/08/1953,Nogueira,RN,03/01/2024,31/12/2033,18.757.710-5,IFP,AM,481.067.529-76,32440201215,C,Pietro Sampaio,Livia Lima,Maya da Cunha
Pietro Pinto,C,17/01/2002,Costela,PB,25/07/2020,23/07/2030,70.581.350-0,IFP,SP,318.652.974-37,69390610321,C,Gael Henrique da Mota,Eloah Silveira,Pietro Pinto
Paulo Montenegro,B,14/02/2004,Silva,GO,30/01/2019,27/01/2029,26.328.553-8,DETRAN,SP,476.815.390-93,03060714064,B,Benjamin Andrade,Brenda Mendes,Paulo Montenegro
Heloisa Aragao,A,30/04/1961,Martins da Serra,CE,12/04/2022,09/04/2032,33.864.194-2,IIRGD,ES,847.265.103-71,25732320129,A,Felipe Nunes,Alana Pereira,Heloisa Aragao
Vinicius Santos,C,24/05/1956,Pereira,DF,07/01/2020,04/01/2030,81.630.145-1,IFP,RO,413.295.087-50,50210363452,C,Bruno Souza,Pietra Silveira,Vinicius Santos
Igor Freitas,D,03/04/1980,Rios,DF,23/08/2021,21/08/2031,68.830.623-3,SSP,DF,459.273.168-91,30770558327,D,Ian Martins,Ana Vitoria Souza,Igor Freitas
Ana Julia Machado,A,08/12/1971,Pimenta,SE,23/03/2016,21/03/2026,89.730.133-8,DETRAN,SP,238.517.960-12,77746656435,A,Davi Ribeiro,Srta. Manuella Fernandes,Ana Julia Machado
Maria Liz Barros,E,11/12/1948,Campos do Sul,MT,15/06/2022,12/06/2032,43.700.695-4,DETRAN,SE,418.709.265-01,40284069704,E,Sr. Oliver Dias,Luiza Aragao,Maria Liz Barros
Brayan Campos,C,22/05/1946,Fogaca dos Dourados,RS,25/03/2016,23/03/2026,29.325.105-0,IPF,AL,153.270.869-68,24166447339,C,Yan Rezende,Brenda Gomes,Brayan Campos
Srta. Maria Isis Lima,A,22/02/1989,Pacheco de Goias,SC,12/08/2023,09/08/2033,36.590.261-1,PC,SP,271.890.564-67,45588060100,A,Diogo Fonseca,Livia Vargas,Srta. Maria Isis Lima
Bryan da Mota,E,18/11/1962,Andrade,AL,22/09/2020,20/09/2030,50.198.113-2,SSP,MA,852.340.917-32,55157295243,E,Vitor Gabriel Campos,Stephany Sousa,Bryan da Mota
Anna Liz Macedo,B,17/07/1977,Caldeira de Mendes,PE,27/09/2020,25/09/2030,34.403.373-8,IIRGD,MG,896.017.523-40,97002982392,B,Luigi Peixoto,Isis Costa,Anna Liz Macedo
Pedro Mendes,E,02/12/2007,Moreira de Souza,CE,28/08/2022,25/08/2032,58.615.317-5,SSP,MS,189.052.473-50,16483470641,E,Jose Miguel Castro,Cecilia Cavalcanti,Pedro Mendes
Maysa Albuquerque,A,09/07/1978,Goncalves da Mata,AP,09/04/2017,07/04/2027,31.464.732-7,PC,MS,783.295.064-10,49471170251,A,Leandro Vieira,Ana Julia Cunha,Maysa Albuquerque
Dra. Clarice Porto,A,14/03/1978,Porto do Oeste,SC,25/09/2017,23/09/2027,51.141.492-5,IFP,AM,174.539.028-60,10649615000,A,Guilherme Nascimento,Larissa Vasconcelos,Dra. Clarice Porto
Luiz Gustavo Mendonca,E,08/09/1957,Porto,AC,31/01/2016,28/01/2026,47.965.297-4,DETRAN,AC,125.907.364-52,15285272571,E,Lucas Gabriel Nascimento,Julia Garcia,Luiz Gustavo Mendonca
Lucca Aragao,B,10/03/1996,Rodrigues Alegre,PA,26/10/2016,24/10/2026,43.438.924-9,IIRGD,MG,328.409.176-96,77899693204,B,Theo Costela,Melina da Paz,Lucca Aragao
Ana Julia Peixoto,E,22/05/1968,Nascimento,RS,08/09/2017,06/09/2027,73.354.417-7,SSP,CE,580.749.621-30,11197696876,E,Thiago da Rosa,Luara Pacheco,Ana Julia Peixoto
Isabel Guerra,A,08/06/1997,Guerra,RS,26/04/2018,23/04/2028,68.436.691-9,IFP,RN,862.043.917-04,84215564311,A,Pedro Santos,Srta. Valentina Marques,Isabel Guerra
Diogo Teixeira,A,19/01/1956,Cavalcante do Oeste,TO,07/05/2021,05/05/2031,85.705.213-7,IPF,SP,479.526.301-99,12897953981,A,Vinicius Costela,Ana Laura Alves,Diogo Teixeira
Levi Castro,A,02/10/1963,Cassiano,RS,03/06/2016,01/06/2026,34.452.227-2,SSP,RN,697.431.082-03,31846705070,A,Eduardo Macedo,Yasmin Castro,Levi Castro
Giovanna Vasconcelos,C,25/03/1974,Nascimento de Minas,SP,15/07/2017,13/07/2027,57.166.442-6,IIRGD,AP,471.365.892-82,73981727953,C,Ryan Borges,Ana Vitoria Peixoto,Giovanna Vasconcelos
Sr. Caua Camargo,E,31/07/1980,Costela,AL,10/10/2022,07/10/2032,27.360.872-8,IIRGD,GO,308.479.651-39,47734944594,E,Arthur da Cruz,Stella Peixoto,Sr. Caua Camargo
Fernanda Correia,A,16/09/1999,Correia da Mata,AL,01/09/2017,30/08/2027,71.438.497-1,SSP,ES,987.032.145-32,57691103838,A,Benjamim Nogueira,Bruna Teixeira,Fernanda Correia
Hellena Moura,A,12/07/1992,Campos,MS,05/01/2024,02/01/2034,65.176.629-2,IPF,TO,406.592.738-29,66692963695,A,Theo Almeida,Heloisa Castro,Hellena Moura
Danilo Pacheco,B,20/08/1949,Souza,TO,26/04/2021,24/04/2031,88.579.239-0,IIRGD,ES,163.754.098-10,11991268799,B,Luigi Azevedo,Ester Rodrigues,Danilo Pacheco
Dr. Pietro da Paz,E,21/06/2006,Vasconcelos de Ferreira,RN,10/10/2022,07/10/2032,57.115.858-5,DETRAN,BA,935.806.147-20,08658103853,E,Dr. Kevin Borges,Sra. Livia Mendes,Dr. Pietro da Paz
Sr. Vitor Mendes,A,02/12/1949,Caldeira,DF,05/02/2016,02/02/2026,45.192.695-4,IIRGD,RO,917.036.245-99,88797394345,A,Brayan Moreira,Alana Costa,Sr. Vitor Mendes
Maite da Conceicao,A,13/12/1981,Pastor de Goias,MA,20/11/2016,18/11/2026,61.287.376-7,IIRGD,GO,409.315.267-52,68917529894,A,Sr. Luigi da Mota,Sarah Vieira,Maite da Conceicao
Thomas Pinto,C,24/06/1956,Dias,DF,30/11/2019,27/11/2029,10.831.126-8,SSP,MS,857.391.246-46,48486490121,C,Sr. Ravi Cavalcante,Maria Alice Ramos,Thomas Pinto
Caroline Freitas,E,30/10/1988,Barros de Vargas,AM,31/10/2023,28/10/2033,22.565.657-3,IPF,PR,685.217.340-26,38318762438,E,Lorenzo Aragao,Bruna Camargo,Caroline Freitas
Hellena Cunha,E,28/10/1996,Pastor,RN,26/05/2019,23/05/2029,59.977.343-4,IFP,RJ,415.078.923-14,51958192715,E,Enrico Almeida,Pietra Rezende,Hellena Cunha
Lavinia Moura,D,19/07/2001,Ribeiro,RO,18/09/2021,16/09/2031,60.358.710-4,IPF,SC,462.859.317-55,93173686226,D,Caue Alves,Ana Sophia Caldeira,Lavinia Moura
Joao Miguel Carvalho,D,19/12/1968,da Rosa,RS,06/07/2022,03/07/2032,70.703.902-0,PC,RJ,871.429.056-11,11349692163,D,Dr. Felipe Sampaio,Ana Clara Santos,Joao Miguel Carvalho
Anthony Gabriel Alves,D,23/02/1971,da Cunha,PB,23/07/2023,20/07/2033,62.561.797-6,IFP,ES,485.193.706-75,36235522376,D,Leo Cardoso,Alice Ribeiro,Anthony Gabriel Alves
Mathias Silva,B,02/06/1979,Farias de da Paz,PA,16/11/2020,14/11/2030,58.805.821-9,PC,MS,491.267.305-61,54833110138,B,Diego Carvalho,Giovanna da Rocha,Mathias Silva
Julia Sales,B,27/05/1963,Lima,SC,04/11/2024,02/11/2034,76.474.882-9,IFP,DF,908.514.623-24,40519293261,B,Luigi Rezende,Heloisa Ramos,Julia Sales
Kevin Nunes,D,25/05/1951,Machado de Leao,RO,29/10/2024,27/10/2034,79.688.127-3,IFP,AL,681.792.035-30,60016023861,D,Bruno Freitas,Barbara Borges,Kevin Nunes
Leticia Gomes,D,08/02/1989,Moraes Alegre,DF,17/10/2024,15/10/2034,52.622.382-2,IFP,RS,751.430.869-57,24495622376,D,Rafael Souza,Hadassa Mendonca,Leticia Gomes
Luara Lima,D,01/11/1949,Moura,ES,29/11/2022,26/11/2032,27.694.385-3,IPF,PA,456.102.387-90,51816677712,D,Fernando Ramos,Dra. Isabela Cassiano,Luara Lima
Vitoria Cassiano,C,09/06/1983,Lima,RN,25/08/2020,23/08/2030,11.326.379-6,IPF,SP,207.169.438-40,94679956956,C,Vinicius Lopes,Sra. Maria Luisa Brito,Vitoria Cassiano
Luigi Pereira,B,30/08/1961,Marques,TO,08/09/2016,06/09/2026,60.649.247-0,IPF,PI,802.769.154-02,70473616739,B,Lorenzo Duarte,Isabela Guerra,Luigi Pereira
Samuel Porto,E,29/06/1981,Albuquerque,RN,09/09/2019,06/09/2029,89.737.154-7,SSP,RN,138.754.092-05,90657252166,E,Alexandre Abreu,Marina Lopes,Samuel Porto
Sara Campos,C,30/10/1961,Pinto de Goias,SC,03/12/2023,30/11/2033,70.425.397-2,PC,ES,543.910.867-00,88868024005,C,Theo Aparecida,Daniela Pacheco,Sara Campos
Bruno Fernandes,E,20/08/1998,Moraes dos Dourados,AL,09/10/2022,06/10/2032,71.657.696-4,SSP,TO,258.973.046-29,84723650459,E,Enrico Souza,Maysa Machado,Bruno Fernandes
Carlos Eduardo Albuquerque,C,01/05/1947,da Luz de Fonseca,PB,05/01/2016,02/01/2026,33.821.924-6,PC,BA,186.793.254-73,20784478431,C,Joao Felipe Marques,Nina da Rocha,Carlos Eduardo Albuquerque
Otavio Leao,B,17/04/1972,Peixoto do Sul,CE,29/11/2024,27/11/2034,21.253.608-2,IFP,AL,318.527.946-82,54978736060,B,Sr. Francisco Monteiro,Maria Cecilia Fogaca,Otavio Leao
Liam Teixeira,D,15/02/1993,Pimenta,AM,30/03/2021,28/03/2031,36.367.644-9,IFP,MS,970.814.523-88,35679535942,D,Benicio Pires,Maria Eduarda Garcia,Liam Teixeira
Anthony Gabriel Novais,E,27/02/1991,Abreu dos Dourados,CE,14/01/2022,12/01/2032,72.423.148-6,PC,DF,261.450.397-52,45277319308,E,Jose Aparecida,Ana Sophia Marques,Anthony Gabriel Novais
Antonella Ribeiro,B,05/12/1977,Dias,AC,07/12/2016,05/12/2026,75.360.196-0,PC,RR,438.067.219-04,27270505604,B,Luiz Felipe Novais,Ana Luiza das Neves,Antonella Ribeiro
Vitor Alves,E,26/07/1987,Jesus do Sul,PB,17/05/2020,15/05/2030,79.779.697-6,IIRGD,AM,610.283.749-50,95877876254,E,Henry Gabriel Melo,Maria Cecilia Pastor,Vitor Alves
Danilo Vargas,E,07/06/1988,Carvalho,GO,03/04/2021,01/04/2031,27.985.277-1,IIRGD,AM,618.924.750-49,42658721178,E,Lucas Gabriel Aragao,Maysa Lopes,Danilo Vargas
Srta. Camila da Rosa,D,26/12/1948,Mendes,RS,24/01/2017,22/01/2027,85.928.520-1,IPF,PA,019.856.342-60,55718030182,D,Pedro Lucas Oliveira,Srta. Marcela Moura,Srta. Camila da Rosa
Maria Liz Azevedo,C,17/08/1957,Vieira de Silveira,RN,01/03/2019,26/02/2029,75.822.485-9,IIRGD,BA,391.720.568-86,15691444110,C,Antony Lopes,Julia Monteiro,Maria Liz Azevedo
Emanuella Garcia,B,20/01/1973,Araujo de Cassiano,PE,10/03/2022,07/03/2032,22.899.833-7,IPF,MA,819.206.735-12,36090322245,B,Apollo Rocha,Brenda Caldeira,Emanuella Garcia
Sr. Arthur Gabriel Vasconcelos,D,21/09/1978,da Costa de Machado,MT,31/10/2020,29/10/2030,45.823.968-7,IIRGD,PA,943.870.156-75,99426869451,D,Nicolas Moura,Fernanda Goncalves,Sr. Arthur Gabriel Vasconcelos
Sra. Aylla Araujo,B,09/01/1995,Pastor,RN,25/06/2021,23/06/2031,89.662.587-5,SSP,PI,948.107.356-48,49386055455,B,Lucas Pereira,Ester Campos,Sra. Aylla Araujo
Gabrielly Azevedo,A,25/09/1988,Silva do Oeste,MT,01/08/2022,29/07/2032,17.621.945-2,IFP,PR,572.604.813-07,60155063837,A,Heitor Melo,Isabel Mendes,Gabrielly Azevedo
Kevin Silva,A,28/02/1947,Carvalho,RO,28/04/2018,25/04/2028,45.640.913-2,PC,AL,598.172.064-67,89036863681,A,Davi Lucca Pastor,Giovanna Nascimento,Kevin Silva
Matteo Nogueira,A,14/10/2006,Marques Grande,PB,20/12/2023,17/12/2033,61.415.319-2,IFP,PR,673.480.512-35,21007951074,A,Leo Barros,Ana Julia Viana,Matteo Nogueira
Ana Laura Alves,A,18/10/1960,Novais Paulista,PI,20/01/2019,17/01/2029,60.812.990-0,PC,MS,562.309.471-61,71497058028,A,Dr. Pedro Miguel Cirino,Srta. Stella das Neves,Ana Laura Alves
Theodoro Duarte,E,13/09/1983,Albuquerque,AL,10/05/2024,08/05/2034,34.492.288-2,SSP,RS,068.192.543-42,14322615372,E,Arthur Camara,Laura Mendonca,Theodoro Duarte
Mirella da Paz,E,25/07/1952,Carvalho,RJ,03/02/2023,31/01/2033,68.924.899-1,IIRGD,PB,690.781.345-93,39245193886,E,Rafael da Luz,Sra. Giovanna da Rocha,Mirella da Paz
Pedro Lucas Jesus,B,12/06/1968,Garcia do Norte,RJ,08/05/2021,06/05/2031,25.801.402-2,PC,RN,703.241.698-50,17179862311,B,Apollo Sousa,Stephany Jesus,Pedro Lucas Jesus
Luana Oliveira,B,25/08/1964,Silveira da Mata,GO,18/07/2024,16/07/2034,28.920.514-7,SSP,DF,712.534.890-41,50982676865,B,Pietro Carvalho,Nicole Castro,Luana Oliveira
Ana Vasconcelos,E,19/05/1974,Machado,AC,04/01/2020,01/01/2030,20.870.606-4,DETRAN,SE,760.519.342-43,64647020501,E,Davi Miguel da Mata,Rafaela Santos,Ana Vasconcelos
Liam Aragao,C,04/10/1996,Santos,RJ,14/06/2019,11/06/2029,70.821.743-2,IPF,SE,867.529.140-01,97639976437,C,Joao Guilherme Brito,Cecilia Duarte,Liam Aragao
Noah Novais,A,03/12/1982,Martins,PA,13/11/2020,11/11/2030,18.266.674-2,PC,AL,387.541.962-64,77479242210,A,Enrico Montenegro,Anna Liz da Luz,Noah Novais
Henrique Melo,C,21/05/1945,Aparecida da Serra,SE,19/08/2020,17/08/2030,91.945.670-4,IPF,GO,489.560.723-29,21556290112,C,Erick Rios,Stephany Camara,Henrique Melo
Arthur Gabriel Moraes,E,24/01/1963,Duarte,PB,30/05/2019,27/05/2029,77.742.215-6,SSP,RO,874.639.052-92,19400486202,E,Antonio da Cunha,Aylla Pimenta,Arthur Gabriel Moraes
Mathias Albuquerque,A,19/05/1982,Dias de Minas,PB,13/05/2021,11/05/2031,21.499.468-3,IPF,MG,057.243.816-80,91021040077,A,Arthur Gabriel Montenegro,Srta. Ana Cecilia Vieira,Mathias Albuquerque
Ester Lima,E,08/07/1974,Viana,PI,30/07/2023,27/07/2033,32.525.946-3,IPF,AC,479.812.053-79,00506636837,E,Benicio Lima,Maria Flor Montenegro,Ester Lima
Bento da Luz,D,18/04/1969,da Mota,DF,09/09/2019,06/09/2029,11.876.546-6,IPF,PE,306.871.492-31,92283314153,D,Ian Pereira,Sra. Maria Cecilia Cassiano,Bento da Luz
Luiz Fernando Barbosa,D,20/12/1972,Ferreira de Goias,SE,23/08/2016,21/08/2026,92.814.471-5,SSP,RN,780.934.265-74,47059993046,D,Fernando da Luz,Isadora Silva,Luiz Fernando Barbosa
Srta. Stella Almeida,E,06/09/1968,Peixoto,AP,23/05/2019,20/05/2029,91.627.824-4,IIRGD,MG,791.584.623-09,61714587655,E,Lucca Moreira,Ana Liz Vasconcelos,Srta. Stella Almeida
Sr. Luiz Otavio Cardoso,A,15/04/1955,Ribeiro do Oeste,RN,30/09/2021,28/09/2031,29.885.169-4,IFP,BA,159.026.438-05,00340873224,A,Arthur Gabriel Brito,Ana Camargo,Sr. Luiz Otavio Cardoso
Zoe Rocha,A,30/05/1958,Melo Verde,PB,05/06/2021,03/06/2031,62.109.171-0,DETRAN,PA,152.067.498-85,43757118837,A,Anthony Sa,Alice Duarte,Zoe Rocha
Ana Livia Casa Grande,D,09/05/1968,Nogueira do Sul,AM,01/10/2023,28/09/2033,43.871.152-1,IIRGD,CE,245.861.793-09,11288154498,D,Lucas Melo,Sra. Clarice Fernandes,Ana Livia Casa Grande
Raul Rezende,B,24/07/1965,Cardoso de Goias,MS,18/07/2016,16/07/2026,10.517.811-9,IIRGD,GO,405.871.296-11,57453213846,B,Josue Rios,Heloisa da Mata,Raul Rezende
