nome_completo,prim_habi,data_nasci,local_nasci,uf_3,data_emissao,validade,doc_identida,org_emissor,uf_4c,cpf,num_regis,categoria,pai,mae,assinatura
Eloa Sa,D,31/08/1969,Sa,AM,20/08/2019,17/08/2029,77.254.751-3,IIRGD,SP,036.921.875-21,83226394326,D,Kaique Nogueira,Cecilia Caldeira,Eloa Sa
Maria Helena Cirino,A,24/12/1962,da Luz,TO,16/02/2020,13/02/2030,13.480.758-8,DETRAN,PE,156.937.084-20,57915901534,A,Pietro Rios,Dra. Melina Novaes,Maria Helena Cirino
Calebe Almeida,C,20/09/1949,Camargo,PE,12/11/2023,09/11/2033,46.226.377-3,PC,AL,367.108.425-17,34139304879,C,Mathias Lima,Maria Eduarda Macedo,Calebe Almeida
Danilo Aparecida,B,22/01/1968,Rodrigues,SC,11/10/2020,09/10/2030,96.179.957-6,PC,MS,605.418.392-33,75061153339,B,Yan das Neves,Ana Vitoria Rios,Danilo Aparecida
Joao Gabriel Martins,E,19/03/1991,da Rosa,RN,29/11/2020,27/11/2030,26.769.105-5,PC,PA,463.571.098-00,46616584785,E,Vitor Hugo da Costa,Heloisa Correia,Joao Gabriel Martins
Ayla Cardoso,E,20/12/1978,Almeida,SC,26/02/2023,23/02/2033,15.938.250-0,PC,AM,835.602.941-42,18047502614,E,Daniel Nascimento,Srta. Maria Helena Garcia,Ayla Cardoso
Julia Guerra,C,20/04/1953,Barbosa,MT,22/11/2016,20/11/2026,97.731.119-1,SSP,BA,189.047.632-31,22223117885,C,Sr. Henrique Duarte,Maria Sophia Gomes,Julia Guerra
Maite Fonseca,B,02/01/1953,Nascimento Verde,AC,23/09/2020,21/09/2030,68.505.602-5,PC,PE,403.198.762-50,74840820519,B,Jose da Mata,Antonella Novais,Maite Fonseca
Caleb da Costa,A,26/05/2005,Santos,AC,21/01/2022,19/01/2032,21.432.363-1,DETRAN,BA,580.716.234-07,02625238009,A,Theo Mendes,Barbara Sa,Caleb da Costa
Luiza Fernandes,B,27/01/1998,Rocha de Silva,AP,30/04/2019,27/04/2029,15.682.589-0,IFP,PI,257.031.469-25,67966519385,B,Isaac Nunes,Lavinia Fonseca,Luiza Fernandes
Enzo Gabriel Fonseca,B,27/03/1966,Machado,PR,03/04/2020,01/04/2030,47.414.395-9,IFP,PB,367.128.049-22,50951974968,B,Benjamim Sales,Livia Fonseca,Enzo Gabriel Fonseca
Rebeca Ribeiro,D,21/12/1951,Duarte,DF,08/03/2020,06/03/2030,33.972.733-6,IPF,RJ,597.026.148-30,94115731866,D,Lucca Fogaca,Sra. Aurora Rios,Rebeca Ribeiro
Sr. Leandro da Rosa,A,04/03/1968,Abreu,AL,07/10/2018,04/10/2028,52.277.284-3,PC,PA,319.802.746-22,94844532886,A,Ravi Lucca Fernandes,Ayla Oliveira,Sr. Leandro da Rosa
Clarice Casa Grande,B,13/12/1976,Lopes de Ramos,AP,05/12/2019,02/12/2029,49.965.431-8,IIRGD,DF,920.358.417-04,73751779154,B,Ravi Lucca Andrade,Brenda Montenegro,Clarice Casa Grande
Srta. Sabrina Costa,E,03/11/1979,Costa de Goias,CE,19/02/2018,17/02/2028,64.725.627-3,PC,PB,729.615.430-61,77091362076,E,Dr. Andre Farias,Melissa Costela,Srta. Sabrina Costa
Evelyn Camargo,C,07/05/1988,Rodrigues de Brito,PA,27/10/2018,24/10/2028,20.488.465-3,SSP,PA,067.948.321-78,44942180785,C,Otto Cirino,Camila Andrade,Evelyn Camargo
Maria Alice Duarte,B,22/02/1964,Carvalho Verde,BA,10/02/2021,08/02/2031,52.851.211-4,PC,AC,931.208.476-31,99248558895,B,Caue Pinto,Antonella Alves,Maria Alice Duarte
Mariah Rocha,C,23/02/1990,Farias de Fernandes,PE,21/10/2024,19/10/2034,37.139.116-8,IIRGD,PA,401.952.678-85,32981501673,C,Diogo Ribeiro,Lara Albuquerque,Mariah Rocha
Sophia Araujo,E,01/05/1998,Cirino,RN,24/03/2017,22/03/2027,85.421.957-3,PC,RR,821.975.430-32,84794580641,E,Noah Sales,Sra. Natalia Farias,Sophia Araujo
Valentina Nascimento,D,10/04/1953,Siqueira,CE,08/06/2018,05/06/2028,68.863.179-6,SSP,RJ,468.025.397-56,91823012405,D,Benicio Alves,Pietra Martins,Valentina Nascimento
Joao Vitor Teixeira,A,20/12/1986,Dias do Norte,SP,14/09/2020,12/09/2030,16.125.332-0,IPF,SP,092.756.318-59,08694769422,A,Valentim Brito,Brenda Vieira,Joao Vitor Teixeira
Valentina Pacheco,B,10/08/1973,Dias do Campo,AM,05/08/2021,03/08/2031,82.544.225-7,IFP,PA,564.120.837-07,20705773346,B,Emanuel Machado,Livia Alves,Valentina Pacheco
Davi Luiz Peixoto,D,20/04/1953,Siqueira de Ferreira,AM,22/01/2018,20/01/2028,74.446.615-8,DETRAN,GO,816.029.534-06,22147197850,D,Kevin Cardoso,Clara da Rocha,Davi Luiz Peixoto
Benjamim Sales,E,01/01/1968,Pires,PR,07/10/2023,04/10/2033,99.992.713-9,SSP,ES,458.203.179-04,15092806315,E,Dr. Joao Miguel Rios,Evelyn Casa Grande,Benjamim Sales
Srta. Aylla Pinto,E,10/03/2001,Silva do Sul,AM,01/06/2017,30/05/2027,74.820.259-5,PC,PA,435.061.827-90,42702752111,E,Mateus Sousa,Lara Brito,Srta. Aylla Pinto
Ian Leao,C,23/12/1990,da Mata,MS,27/05/2020,25/05/2030,36.676.405-5,SSP,PA,578.130.962-40,54822965336,C,Arthur Gabriel Alves,Helena da Rocha,Ian Leao
